StarID,ProperName,RA,Dec,Mag,ColorIndex
325.0,,0.08886447,-38.85723115,6.93,0.94
326.0,,0.0888975,-21.31530277,8.38,-0.06
327.0,,0.08892938,-5.70783255,4.61,1.029
328.0,,0.08897037,-37.3516811,8.56,1.462
329.0,,0.08910683,-59.81448691,8.78,1.156
330.0,,0.08934144,-56.95562054,7.42,0.191
331.0,,0.08946002,8.7879537,8.26,1.052
332.0,,0.0894865,-79.25391278,7.71,1.093
333.0,,0.08951419,3.60610712,6.91,1.12
334.0,,0.08999652,28.54375172,8.99,1.199
335.0,,0.09007748,16.32907717,8.63,0.46
336.0,,0.09040796,-3.85159559,7.59,1.045
337.0,,0.09066964,-14.42209198,7.39,0.99
338.0,,0.09102882,-37.30254152,7.78,1.123
339.0,,0.09111921,-42.88738421,7.47,1.62
340.0,,0.09117504,-7.66532823,6.97,1.444
341.0,,0.09120887,-61.22566452,8.82,0.666
342.0,,0.09131763,22.22467477,9.13,0.735
343.0,,0.09140457,34.10565584,7.86,0.494
344.0,,0.09197453,-9.61729691,7.13,0.446
345.0,,0.09272844,76.28582649,8.78,1.249
346.0,,0.09303173,53.17169568,7.23,1.174
347.0,,0.09326412,-61.30989474,7.36,0.993
348.0,,0.09340207,-51.26045604,7.36,1.444
349.0,,0.09359807,43.40143611,8.47,-0.18
350.0,,0.0943665,55.7099023,6.99,1.187
351.0,,0.09452151,45.81245496,8.2,1.41
352.0,,0.09467993,44.46868671,8.36,0.247
353.0,,0.09488884,58.31365552,8.22,0.636
354.0,,0.09498215,13.39628227,5.55,0.901
355.0,,0.09534461,-15.36550173,8.6,1.1
356.0,,0.09566975,17.84032678,7.75,0.414
357.0,,0.09651865,47.08729369,8.47,0.045
358.0,,0.09790781,-41.7528821,7.51,0.595
359.0,,0.09799795,12.52743978,8.91,1.19
360.0,,0.09856701,18.23536692,7.45,0.596
361.0,,0.09864757,-68.81162782,8.99,0.585
362.0,,0.0987676,18.07622626,8.58,0.92
363.0,,0.09908583,24.56904604,6.9,1.564
364.0,,0.09917931,49.62234797,7.55,0.3
365.0,,0.09952054,44.73937991,7.93,0.239
366.0,,0.10003646,-39.13751717,8.55,1.357
367.0,,0.10014949,28.27696051,6.62,1.531
368.0,,0.10029297,16.45207976,7.89,0.93
369.0,,0.10089094,24.91664125,7.51,1.112
370.0,,0.10094255,63.67965857,7.36,0.126
371.0,,0.10097587,53.27691513,8.66,-0.039
372.0,,0.10115884,-84.09820798,8.51,1.576
373.0,,0.10118211,40.41853643,6.65,0.912
374.0,,0.10222844,9.71496461,7.8,0.501
375.0,,0.10223438,0.12143808,8.21,1.108
376.0,,0.10251778,-29.15139035,7.9,-0.03
377.0,,0.10316432,87.88938595,8.94,1.0
